,pmid
0,22583413
1,2289388
2,20195826
3,15673750
4,15817613
5,9649989
6,3202672
7,11049895
8,23104009
9,19204064
10,6517294
11,21316312
12,23499868
13,18071103
14,16572486
15,27702591
16,12772136
17,15374632
18,11583720
19,8152482
20,12500499
21,12092659
22,2178070
23,29376028
24,19051063
25,24496636
26,1359143
27,12560223
28,20044596
29,11927762
30,1297107
31,19417079
32,7968132
33,17365031
34,9538487
35,9587734
36,2884120
37,30836114
38,16601648
39,20102058
40,10813312
41,17076660
42,10797510
43,119317
44,15946989
45,12362504
46,15667904
47,12202288
48,15840730
49,9704817
50,8522428
51,19356726
52,15056471
53,11333656
54,4475418
55,6476315
56,540439
57,16858118
58,30967525
59,19851775
60,16680063
61,10233644
62,2503135
63,8428896
64,22867017
65,9773944
66,21863215
67,7386672
68,17225166
69,10676828
70,14658178
71,24253456
72,23375450
73,9745973
74,17704776
75,4996737
76,25802986
77,22112500
78,21880625
79,1679710
80,24512812
81,27231709
82,8526997
83,14618681
84,7977526
85,10357335
86,10192272
87,9608079
88,1744988
89,1898952
90,2806716
91,12900435
92,12538720
93,1117313
94,11525773
95,9616293
96,6442055
97,1810269
98,20973932
99,21167239
100,26749309
101,15729090
102,19527710
103,7667064
104,11137723
105,1957896
106,15300634
107,12717123
108,4189344
109,782401
110,26844784
111,7085250
112,20861613
113,22414603
114,14617116
115,7343524
116,16687474
117,19731987
118,23570914
119,18166149
120,4421333
121,17893579
122,3117426
123,11787760
124,15781211
125,151152
126,30980912
127,18323319
128,18095969
129,17178796
130,19017832
131,11424224
132,17010972
133,7968889
134,15632880
135,4115290
136,7362207
137,7844257
138,19771592
139,29630881
140,5642309
141,15235850
142,17920284
143,15276875
144,3659072
145,8186310
146,18187119
147,2920217
148,3376742
149,1481903
150,3761745
151,21217775
152,14650364
153,2231884
154,23590230
155,19656070
156,19839405
157,12490774
158,16077979
159,11756504
160,2367283
161,6590001
162,18031370
163,15496303
164,3873040
165,24520039
166,12459828
167,19548288
168,10050945
169,29720568
170,6507932
171,8967707
172,6064331
173,11442472
174,3348460
175,10455478
176,16670375
177,19538983
178,11417946
179,12148451
180,17534955
181,16190799
182,11786142
183,2972491
184,311647
185,17667474
186,1268773
187,20498322
188,3652100
189,16433891
190,15141722
191,3335240
192,18292230
193,15388451
194,4368278
195,17721245
196,9536091
197,17661800
198,12044520
199,19740120
200,10592884
201,17000233
202,19401297
203,5080707
204,5678113
205,15511213
206,7316342
207,22038807
208,20967185
209,10358842
210,18951251
211,2677192
212,6657461
213,4085539
214,7712677
215,28741210
216,16620296
217,2568424
218,8059293
219,3283917
220,17187072
221,7885518
222,17628351
223,202693
224,9399633
225,509400
226,8854376
227,16766716
228,18159148
229,19999907
230,7899476
231,18594798
232,1748434
233,19783864
234,3361443
235,19647758
236,4688040
237,2829265
238,503110
239,5034842
240,15931068
241,15452468
242,15767218
243,3585447
244,16798900
245,2607791
246,20570051
247,2880997
248,20231502
249,26836278
250,15111693
251,3957884
252,17069611
253,6302557
254,17005179
255,2334626
256,67364
257,14501459
258,15013062
259,16901484
260,6151067
261,8237837
262,6141159
263,9039174
264,7802575
265,23418109
266,9553405
267,19857430
268,15086898
269,8975870
270,10743446
271,17368676
272,18072985
273,19636294
274,12861354
275,8999220
276,9828209
277,2879054
278,7762840
279,21533749
280,24935635
281,3453705
282,10098657
283,3874838
284,15694878
285,7509380
286,27866991
287,19182437
288,17269604
289,15987719
290,20927585
291,11895069
292,28530676
293,3785587
294,9593455
295,3382111
296,26058082
297,27163854
298,22719926
299,11805133
300,9294958
301,8724428
302,10751747
303,17690064
304,17055203
305,11190581
306,3864191
307,18305452
308,17201256
309,23845849
310,6822106
311,28963909
312,16944150
313,8713301
314,20564326
315,10979640
316,12596523
317,11940368
318,12463497
319,11337188
320,15298249
321,10730737
322,15934105
323,16029829
324,3177508
325,20004712
326,6123407
327,11685499
328,20921909
329,6881008
330,2368673
331,1013401
332,2732577
333,3440675
334,14623372
335,28655646
336,24366741
337,17613114
338,15787813
339,29513521
340,16627676
341,12859499
342,20188714
343,9611684
344,12357301
345,23933227
346,19710369
347,97712
348,21328587
349,12874094
350,11335787
351,22787411
352,26154255
353,3716981
354,29641977
355,11144469
356,14745153
357,20206181
358,9619318
359,6402239
360,20587933
361,3728117
362,6349608
363,22037554
364,7669713
365,20431573
366,15785055
367,15866369
368,18194892
369,22627131
370,10830865
371,20211677
372,11420682
373,25211138
374,26882889
375,7104149
376,10713387
377,81467
378,19177168
379,6141832
380,11238279
381,9717591
382,16421423
383,17450233
384,7893262
385,3010692
386,12424556
387,2517543
388,16006060
389,16573611
390,3380218
391,3971888
392,10965993
393,10631206
394,22029500
395,7446392
396,9649984
397,869273
398,23759512
399,15955936
400,1346911
401,18553568
402,21082655
403,10453939
404,19931552
405,13662872
406,18469381
407,16174667
408,6723230
409,2184650
410,9264493
411,8908332
412,12742673
413,4742995
414,8100951
415,11834493
416,1886219
417,3423103
418,15064703
419,9494371
420,9641191
421,18956527
422,11199957
423,18075469
424,10496290
425,10411778
426,9053127
427,20111022
428,17150108
429,6761057
430,11208507
431,7178196
432,14499944
433,702453
434,2654866
435,8316922
436,24755467
437,24617573
438,1276698
439,18492817
440,12520078
441,21329450
442,11846512
443,1971166
444,27689324
445,28850943
446,7127350
447,7009135
448,25724286
449,19812365
450,17086897
451,18165598
452,26134001
453,1340825
454,16211203
455,175631
456,6378651
457,22330348
458,9643462
459,1630997
460,17895401
461,4186012
462,6410650
463,20363884
464,26863688
465,6670686
466,18931380
467,25115650
468,21051829
469,10893785
470,19329571
471,21715663
472,1831809
473,322550
474,9802455
475,20034063
476,6295125
477,14633084
478,3725639
479,12125951
480,20869980
481,3198244
482,17275666
483,12972520
484,28191889
485,30783172
486,28289076
487,19714248
488,12865583
489,16024531
490,18795172
491,189712
492,15566030
493,10712987
494,7282725
495,12883319
496,16928686
497,6781355
498,19257999
499,15942677
500,15674093
501,22672789
502,20065017
503,18248325
504,6138529
505,2116156
506,14731143
507,4206420
508,17353251
509,7099199
510,19762785
511,20431905
512,7675850
513,26455392
514,11269422
515,18500725
516,10844373
517,11361051
518,3883305
519,12235215
520,3861022
521,8996154
